Journal	Omics type	Organism	Gene set library	GS version	Statistical test used	FDR Correction	App used	App Version	Code availability	Background gene set	Assumptions violated	Gene lists provided
BMC Genomics	miRNA-seq	Mus musculus	Ingenuity Knowledge Base	Yes	Fisher	No	Ingenuity Pathway Analysis	Yes	NA	No	Background, FDR	No
J Transl Med	Database	Homo sapiens	KEGG	Yes	Not stated	No	DAVID	Yes	NA	No	Background, FDR	Yes
BMC Plant Biol	DNA methylation sequencing	Glycine max	KEGG, GO	No	Not stated	No	Not stated	No	NA	No	Background, FDR	Yes
RNA Biol	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	STRING	No	NA	No	Background, FDR	No
Med Sci Monit	RNA-seq	Homo sapiens	KEGG	Yes	Not stated	Yes	DAVID	Yes	NA	No	Background	Yes
Med Sci Monit	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	KOBAS	Yes	NA	No	Background	Yes
Medicine (Baltimore)	Gene expression array	Homo sapiens	KEGG, GO	Yes	Not stated	Yes	DAVID	Yes	NA	No	Background	No
Medicine (Baltimore)	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	No	Background, FDR	No
Sci Rep	miRNA-seq	Homo sapiens	KEGG	No	Not stated	No	DIANA-miRPath	Yes	No	No	Background, FDR	No
J Ovarian Res	RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	Yes	Ingenuity Pathway Analysis	No	NA	No	Background	Yes
J Ovarian Res	RNA-seq	Homo sapiens	KEGG, GO, Reactome	No	Not stated	No	DAVID	No	NA	No	Background, FDR	Yes
Cell Commun Signal	Proteomics	Rattus norvegicus	SIGNOR	Yes	Kolmogorov–Smirnov	Yes	KSEA	No	NA	Yes	No	Yes
Aging (Albany NY)	Gene expression array	Homo sapiens	Not stated	No	Not stated	No	Metascape	No	NA	No	Background, FDR	No
Sci Rep	RNA-seq	Homo sapiens	GO	No	Not stated	No	clusterProfiler	No	NA	No	Background, FDR	No
Sci Rep	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Cancer Control	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	DAVID	No	NA	No	Background, FDR	Yes
J Res Med Sci	Gene expression array	Rattus norvegicus	KEGG, GO, Reactome	No	Not stated	Yes	ClueGO/Cytoscape	Yes	NA	No	Background	No
Biomed Res Int	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	No	Background	Yes
Biomed Res Int	Metabolomics	Rattus norvegicus	MetaboAnalyst	Yes	Not stated	No	MetaboAnalyst	Yes	NA	NA	Background	Yes
Parasite	Proteomics	Mesocricetus auratus	KEGG, GO	No	No test	NA	KAAS	No	NA	No	Inference without test, Background	Yes
J Virol	RNA-seq	Mus musculus	MetaCore	No	Not stated	No	MetaCore	No	NA	No	No data shown	No
J Virol	RNA-seq	Mus musculus	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Front Oncol	Gene expression array, RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	Yes	clusterProfiler	No	NA	No	Background	Yes
BMC Genomics	Genome sequencing	Bos taurus	KEGG, InterPro, SMART	No	Not stated	Yes	DAVID	Yes	NA	Yes	No	Yes
Sci Rep	RNA-seq	Mus musculus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
Biosci Rep	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	Yes	Cluepedia	No	NA	No	Background	No
Int J Mol Sci	Proteomics	Dunaliella salina	KEGG, GO	No	Not stated	No	Not stated	No	NA	No	Background, FDR	Yes
Int J Mol Sci	RNA-seq	Camellia sinensis	KEGG, GO	No	Fisher	Yes	agriGO	No	NA	No	Background	Yes
Int J Mol Sci	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	No	Background, FDR	No
Int J Mol Sci	Database	Homo sapiens	KEGG, GO	No	No test	Not stated	Cytoscape (No plugin stated)	Yes	NA	No	No data shown	No
Int J Mol Sci	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	No
Stem Cell Res Ther	Gene expression array	Mus musculus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	No
Dis Markers	Gene expression array	Rattus norvegicus	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	No	Background, FDR	Yes
Evid Based Complement Alternat Med	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Dis Markers	Database	Homo sapiens	KEGG, GO	No	Not stated	Not stated	Not stated	No	NA	No	No data shown	No
Biomed Res Int	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	No	Background, FDR	No
Endocrinology	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	No
Cancer Manag Res	Gene expression array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Onco Targets Ther	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	No	Background, FDR	No
Onco Targets Ther	Gene expression array	Homo sapiens	Not stated	No	GSEA	No	GSEA	No	NA	NA	FDR	No
Cancer Manag Res	Database	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Yes	Background, FDR	No
Onco Targets Ther	Database	Homo sapiens	GO	No	Not stated	Yes	GOseq	No	No	No	Background	No
Onco Targets Ther	Database	Homo sapiens	KEGG	No	Not stated	Yes	KOBAS	No	NA	No	Background	No
Front Genet	Genome sequencing	Bos taurus	GO	No	Not stated	Yes	DAVID	No	NA	No	No	No
Front Genet	RNA-seq	Homo sapiens	KEGG, GO	No	Fisher	No	WebGestalt	No	NA	Not stated	Background, FDR	No
Thyroid	RNA-seq	Homo sapiens	KEGG, GO, Reactome	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
Front Genet	RNA-seq	Sus scrofa	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	No	Background, FDR	Yes
Sci Rep	Gene expression array	Homo sapiens	GO	No	Not stated	Yes	MetaCore	Yes	NA	Not stated	Background	Yes
Mol Med Rep	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Mol Med Rep	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
Mol Med Rep	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	ClueGO/Cytoscape	Yes	NA	Not stated	Background, FDR	No
Mol Med Rep	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Sci Rep	QTL mapping	Glycine max	GO	No	Not stated	Not stated	topGO	No	No	Not stated	No data shown, Background	No
Front Genet	Database	Homo sapiens	Not stated	No	Fisher	Yes	DAVID	No	NA	Yes	No	Yes
BMC Bioinformatics	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
BMC Genomics	RNA-seq	Incilaria fruhstorferi	KEGG	Yes	No test	NA	KAAS	No	NA	Not stated	Inference without test, Background	No
J Transl Med	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
J Transl Med	Gene expression array	Homo sapiens	GO	No	Not stated	No	PANTHER	No	NA	Not stated	Background, FDR	No
Front Genet	RNA-seq	Bos taurus	KEGG, GO	No	Hypergeometric	Yes	ClueGO/Cytoscape	No	NA	Not stated	Background	No
Front Genet	RNA-seq	Bos taurus	MSigDB	No	GSEA	Yes	GSEA	Yes	NA	NA	No	No
PLoS One	RNA-seq	Homo sapiens	GO, PID, Reactome, WikiPathways, NetPath	No	Hypergeometric	Yes	DAVID	No	NA	Not stated	Background	No
Front Genet	Gene expression array	Homo sapiens	GO	No	Permutation	No	GO-Elite	Yes	No	Yes	FDR	No
Front Genet	Gene expression array	Homo sapiens	WikiPathways, Reactome	Yes	Permutation	No	PathVisio	Yes	No	Yes	FDR	No
Sci Rep	Proteomics	Homo sapiens	KEGG, GO	No	Fisher	Yes	DAVID	Yes	NA	Not stated	Background	Yes
Sci Rep	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	Not stated	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
Med Sci Monit Basic Res	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Front Oncol	Gene expression array	Homo sapiens	GO	No	Not stated	Not stated	BiNGO/Cytoscape	No	NA	Not stated	Inference without test, Background	No
Front Oncol	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	Not stated	Ingenuity Pathway Analysis	No	NA	Not stated	Inference without test, Background	No
PeerJ	Gene expression array	Homo sapiens	GO	No	Not stated	No	Metascape	No	NA	Not stated	Background, FDR	No
PeerJ	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	KOBAS	No	NA	Not stated	Background, FDR	No
Sci Rep	RNA-seq	Rattus norvegicus	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
Exp Ther Med	Database	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
FEBS Open Bio	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	No
FEBS Open Bio	Database	Homo sapiens	KEGG	No	Not stated	No	WebGestalt	No	NA	Not stated	Background, FDR	Yes
FEBS Open Bio	Gene expression array	Homo sapiens	KEGG	No	Not stated	Not stated	ClueGO/Cytoscape	No	NA	Not stated	No data shown, Background	No
Oncol Lett	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	No data shown, Background	No
"Oncol Lett
Oncol Lett"	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background	No
FEBS Open Bio	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	GeneCodis	Yes	NA	Not stated	Background	No
Database (Oxford)	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Mol Hum Reprod	RNA-seq	Macaca mulatta	Ingenuity Knowledge Base	No	Fisher	Yes	Ingenuity Pathway Analysis	No	NA	Not stated	Background	No
Sci Rep	Gene expression array	Homo sapiens, Mus musculus	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Yes	No	Yes
Thorac Cancer	Gene expression array	Homo sapiens	GO	No	Fisher, Chi-squared	Yes	Not stated	No	NA	Not stated	Background	No
Evid Based Complement Alternat Med	Gene expression array	Rattus norvegicus	KEGG, GO	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
Evid Based Complement Alternat Med	Database	Damnacanthus indicus	KEGG	No	Not stated	Yes	WebGestalt	No	NA	Not stated	Background	No
Oncotarget	Gene expression array	Homo sapiens	Custom	NA	GSEA	Yes	GSEA	No	NA	NA	No	Yes
Oncotarget	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
PeerJ	Gene expression array	Homo sapiens	Reactome	No	Not stated	Yes	Reactome web app	No	NA	Not stated	Background	Yes
PeerJ	Gene expression array	Homo sapiens	Reactome	No	Not stated	Yes	Speed	No	NA	Not stated	Background	Yes
Commun Biol	Genotyping array	Homo sapiens	Reactome, KEGG, BioCarta	No	modified Chi-squared	Not stated	Pascal	No	No	Not stated	No	Yes
Commun Biol	Metabolomics	Lolium perenne	KEGG	Yes	Not stated	Not stated	KEGG mapper	Yes	NA	No	Background	Yes
Rice (N Y)	RNA-seq	Oryza sativa	GO	No	Fisher	Yes	agriGO	No	NA	Not stated	Background	No
Front Genet	RNA-seq	Oreochromis aureus	GO	No	Not stated	Yes	PANTHER	No	NA	Not stated	Background	Yes
Front Genet	RNA-seq	Oreochromis aureus	KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
Biomed Res Int	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Cancer Cell Int	Gene expression array, DNA methylation array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Cancer Cell Int	Gene expression array, DNA methylation array	Homo sapiens	KEGG	No	GSEA	Not stated	GSEA	No	NA	NA	FDR	No
Front Immunol	RNA-seq	Cyprinus carpio	GO	No	Not stated	Yes	GOrilla	No	NA	Stated, but incorrect	Background	Yes
PLoS One	Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	Yes	NA	NA	No	No
J Cancer	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
J Cancer	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
J Cancer	RNA-seq, Gene expression array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	Yes	NA	NA	No	No
J Cancer	Gene expression array, DNA methylation array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Sci Rep	RNA-seq	Vitis vinifera	KEGG, GO	No	No test	NA	Blast2GO	No	NA	No	Inference without test, Background	Yes
Sci Rep	RNA-seq	Homo sapiens	KEGG	No	Not stated	Yes	clusterProfiler	Yes	No	Not stated	Background	Yes
Sci Rep	Gene expression array	Homo sapiens	Not stated	No	GSEA	No	GSEA	Yes	NA	NA	FDR	No
Mol Ther	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	No	Not stated	NA	NA	Not stated	Background, FDR	Yes
Sci Rep	RNA-seq	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Cancer Cell Int	Gene expression array, DNA methylation array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	NA	NA	Not stated	Background, FDR	No
BMC Genomics	Genotyping array	Equus ferus caballus	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Yes	FDR	Yes
Microb Cell	Gene expression array	"Saccharomyces cerevisiae
"	GO, YEASTRACT	No	Hypergeometric	Not stated	Custom R script	No	No	Not stated	Background, FDR	Yes
Front Plant Sci	RNA-seq	Pseudotsuga menziesii	GO	No	Fisher	No	topGO	No	No	Not stated	Background, FDR	Yes
Front Plant Sci	RNA-seq	Pseudotsuga menziesii	Pathway Studio	No	Not stated	No	Plant Pathway Studio	Yes	NA	Not stated	Background, FDR	Yes
Sci Rep	RNA-seq	Oryza sativa	KEGG, GO	No	Not stated	Yes	agriGO	No	NA	Not stated	Background	Yes
Front Psychol	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Oncol Lett	Database	Homo sapiens	KEGG, GO	Yes	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
Oncol Lett	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
Oncol Lett	Proteomics	Homo sapiens	KEGG, GO	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
BMC Genomics	Genotyping array	Bos taurus	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
Cancer Cell Int	Gene expression array, DNA methylation array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
Cancer Cell Int	Gene expression array, DNA methylation array	Homo sapiens	Not stated	No	Not stated	No	ConsensuspathDB	No	NA	Not stated	Background, FDR	Yes
Breast Cancer Res	RNA-seq	Homo sapiens, Mus musculus	MSigDB	Yes	ssGSEA	Not stated	GSVA	Yes	No	NA	No	Yes
BMC Genomics	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PeerJ	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	Yes
PLoS One	Gene expression array	Homo sapiens	KEGG, GO	No	Fisher	No	DAVID	No	NA	Stated, but incorrect	Background, FDR	Yes
PLoS One	Gene expression array	Homo sapiens	KEGG, GO, Reactome	No	Fisher	Yes	ClueGO/Cytoscape	Yes	NA	Not stated	Background, FDR	Yes
Front Genet	Gene expression array	Homo sapiens	GO, Reactome	No	Fisher	No	DAVID	No	NA	Not stated	Background, FDR	Yes
Front Pharmacol	RNA-seq	Homo sapiens	KEGG, GO	Yes	Not stated	Yes	DAVID	Yes	NA	Not stated	Background	Yes
J Am Heart Assoc	Gene expression array	Sus scrofa	GO	No	Not stated	No	AmiGO	No	NA	Not stated	Background, FDR	Yes
J Am Heart Assoc	Gene expression array	Sus scrofa	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
Sci Rep	Gene expression array	Homo sapiens	Reactome	No	GSEA	Yes	GSEA	Yes	NA	NA	No	No
Sci Rep	RNA-seq, Proteomics	Homo sapiens	KEGG, PFAM	No	Not stated	Yes	STRING	No	NA	Not stated	Background	Yes
Bone Rep	Gene expression array	Homo sapiens	KEGG	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
World J Gastrointest Oncol	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
J Clin Med	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
J Clin Med	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	GOrilla	No	NA	Not stated	Background	No
J Clin Med	RNA-seq	Homo sapiens	PANTHER	No	Not stated	Yes	Enrichr	No	NA	Not stated	Background	No
J Clin Med	RNA-seq	Homo sapiens	KEGG	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Cancers (Basel)	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	ToppGene	No	NA	Not stated	Background	Yes
J Clin Med	Genotyping array	Homo sapiens	GO	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	Yes
Cells	miRNA-seq	Homo sapiens	Reactome	No	Fisher	Yes	Not stated	No	NA	Not stated	Background	No
Int J Environ Res Public Health	miRNA-seq	Homo sapiens	GO	No	Not stated	Yes	DIANA-miRPath	Yes	NA	Not stated	Background	No
Cells	PCR array	Homo sapiens	GO	Yes	Fisher	Yes	PANTHER	Yes	NA	Yes	Background	Yes
Biomolecules	Gene expression array	Homo sapiens	KEGG, WikiPathways, BioCarta, HumanCyc, PANTHER, GO, PID	No	Not stated	No	Enrichr	No	NA	Not stated	Background, FDR	Yes
Cancers (Basel)	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	STRING	No	NA	Not stated	Background	No
J Extracell Vesicles	Proteomics	Homo sapiens	GO	No	Hypergeometric	Yes	FunRich	Yes	NA	Yes	Background	No
World J Surg Oncol	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	clusterProfiler	Yes	No	Not stated	Background	No
Mol Cancer	RNA-seq	Homo sapiens	GO	No	Fisher	No	clusterProfiler	No	No	Not stated	Background, FDR	No
PeerJ	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
Front Pharmacol	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	Yes	NA	Not stated	Background	No
Front Pharmacol	RNA-seq	Homo sapiens	KEGG	No	Not stated	Yes	KOBAS	Yes	NA	Not stated	Background	No
Front Genet	RNA-seq	Sus scrofa	KEGG, GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
Genes (Basel)	RNA-seq	Sillago sihama	KEGG, GO	No	Not stated	Yes	Not stated	No	NA	Not stated	Background	No
Metabolites	Metabolomics	Homo sapiens	MetaboAnalyst	Yes	MSEA	No	MetaboAnalyst	Yes	NA	NA	FDR	Yes
Genes (Basel)	RNA-seq	Ovis aries	KEGG, GO	No	Not stated	No	GOseq	No	No	Not stated	Background, FDR	Yes
Genes (Basel)	RNA-seq	Zea mays	GO	No	Fisher	Yes	agriGO	Yes	NA	Yes	No	Yes
Toxins (Basel)	RNA-seq	Aequipecten opercularis	PFAM	No	Hypergeometric	Yes	Custom R script	Yes	No	Not stated	Background	Yes
Toxins (Basel)	RNA-seq	Aequipecten opercularis	GO	No	Fisher	Yes	Blast2GO	Yes	NA	Not stated	Background	Yes
Oxid Med Cell Longev	Genotyping array	Homo sapiens	KEGG, GO, BioCarta	No	GSEA	Yes	i-GSEA4GWAS	No	NA	Not stated	Background	No
Burns Trauma	Proteomics	Mus musculus	KEGG, GO	No	No test	NA	KAAS	No	NA	Not stated	Inference without test, Background	No
PeerJ	RNA-seq	Mauremys reevesii	GO	No	Not stated	No	Blast2GO	Yes	No	Not stated	Background, FDR	No
PeerJ	RNA-seq	Mauremys reevesii	KEGG	No	Not stated	No	KAAS	No	No	Not stated	Background, FDR	No
Proc Natl Acad Sci U S A	RNA-seq	Homo sapiens	KEGG	No	Not stated	Yes	Not stated	No	No	Not stated	Background, FDR	No
Transl Oncol	Database	Homo sapiens	KEGG, Reactome	No	No test	NA	Not stated	No	NA	Not stated	Inference without test, Background	Yes
Neoplasia	Gene expression array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	FDR	No
Front Genet	RNA-seq	Brachymeria lasus	KEGG	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background	No
Front Genet	RNA-seq	Brachymeria lasus	GO	No	Not stated	Yes	GOseq	No	No	Not stated	Background	No
Front Pharmacol	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	No	No	Background, FDR	No
Oncol Rep	Database	Homo sapiens	GO	No	Not stated	No	Metascape	Yes	NA	Not stated	Background, FDR	No
Oncol Rep	Database	Homo sapiens	KEGG	No	Not stated	No	WebGestalt	No	NA	Not stated	Background, FDR	No
Oncol Rep	Gene expression array	Homo sapiens	KEGG, Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
Oncol Rep	Database	Homo sapiens	KEGG	No	Not stated	No	WebGestalt	No	NA	Not stated	Background, FDR	No
Oncol Rep	Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	No	GSEA	No	NA	NA	FDR	No
Molecules	Metabolomics	Caragana intermedia	KEGG	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
Int J Mol Sci	RNA-seq	Sus scrofa	GO	No	Not stated	No	GOseq	No	No	Not stated	Background, FDR	No
Int J Mol Sci	RNA-seq	Sus scrofa	KEGG	No	Not stated	No	KOBAS	Yes	NA	Not stated	Background, FDR	No
Am J Transl Res	RNA-seq	Rattus norvegicus	KEGG	No	Not stated	No	Not stated	No	No	Not stated	Background, FDR	No
Am J Transl Res	RNA-seq	Mus musculus	KEGG	No	Not stated	Yes	WebGestalt	Yes	NA	Not stated	Background	No
Am J Transl Res	RNA-seq	Mus musculus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
Biomed Res Int	Database	Homo sapiens	KEGG, GO	No	Not stated	No	ClueGO/Cytoscape	No	No	Not stated	Background, FDR	No
Cancer Inform	RNA-seq	Homo sapiens	Reactome	No	Fisher	Yes	clusterProfiler	No	Yes	Yes	No	Yes
Med Sci Monit	Gene expression array	Homo sapiens	KEGG	No	GSEA	No	GSEA	Yes	NA	NA	No	No
Med Sci Monit	Gene expression array	Homo sapiens	GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
JCI Insight	RNA-seq	Homo sapiens, Mus musculus	GO	No	Hypergeometric	Yes	Not stated	No	No	Not stated	Background	Yes
Int J Mol Med	Gene expression array	Homo sapiens	KEGG, GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	Yes
Int J Mol Med	RNA-seq	Rattus norvegicus	KEGG, GO	No	Fisher	Yes	Not stated	No	No	Not stated	Background	No
Int J Mol Med	RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	EASE	No	DAVID	No	NA	Not stated	Background, FDR	No
Int J Mol Med	Database	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
Cancer Lett	Gene expression array, Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
Sci Rep	Gene expression array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	Yes	NA	NA	No	No
Transl Psychiatry	RNA-seq	Homo sapiens	KEGG, GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
Sci Rep	Database	Homo sapiens	KEGG	No	Not stated	No	Partek	No	NA	Not stated	Background, FDR	No
Biomed Res Int	RNA-seq	Homo sapiens	KEGG, GO	No	Fisher	Yes	Not stated	No	NA	Not stated	Background	Yes
BMC Genomics	Gene expression array	Mus musculus	KEGG, GO, BioCarta, Reactome, NCI, WikiPathways, PFAM	No	Not stated	Yes	Not stated	No	NA	Not stated	Background	No
BMC Cancer	RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	No	Not stated	Background	Yes
PLoS One	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	No	Not stated	Background, FDR	No
Sci Rep	Database	Triticum aestivum	GO	No	Hypergeometric	Yes	Cytoscape (No plugin stated)	Yes	NA	Not stated	Background	No
Sci Rep	Proteomics	Homo sapiens	KEGG, Reactome	No	GSEA	No	GSEA	No	NA	Yes	FDR	No
Exp Mol Med	Database	Homo sapiens	KEGG	No	GSEA	No	GSEA	No	NA	NA	FDR	No
Nutr Metab (Lond)	Proteomics	Anas platyrhynchos	KEGG	Yes	Not stated	No	ClueGO/Cytoscape	No	No	Not stated	Background, FDR	No
Front Genet	RNA-seq, miRNA-seq	Homo sapiens	GO, Cytoband	No	Not stated	Yes	ToppGene	No	NA	Not stated	Background	No
EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
